destination_id,month,temperature_mean,temperature_max_avg,temperature_min_avg,precipitation_daily_avg,sunshine_hours_avg,wind_speed_max_avg,precipitation_monthly_avg,rainy_days_avg
BKK,1,26.60410557184751,31.315542521994136,22.212023460410556,0.7052785923753666,10.372509367872272,12.750439882697947,21.863636363636363,3.4545454545454546
BKK,2,27.6508038585209,32.353697749196144,23.556591639871385,1.1504823151125403,10.589582261521972,14.512861736334406,32.52727272727273,5.363636363636363
BKK,3,29.22375366568915,33.522873900293256,25.919648093841644,1.4821114369501465,10.747107021831216,16.347214076246335,45.945454545454545,7.7272727272727275
BKK,4,30.054242424242425,34.28151515151515,26.85030303030303,2.8039393939393937,10.89335053030303,16.39181818181818,84.11818181818181,11.181818181818182
BKK,5,29.641055718475073,33.52316715542522,26.71700879765396,5.3891495601173025,10.029564100684262,15.478592375366569,167.06363636363633,20.0
BKK,6,28.896363636363635,32.582424242424246,26.126666666666665,4.941818181818181,9.298666212121212,16.154545454545456,148.25454545454545,22.727272727272727
BKK,7,28.17624633431085,31.59032258064516,25.681524926686215,6.364516129032259,7.874928152492669,16.22991202346041,197.3,24.727272727272727
BKK,8,28.060117302052785,31.59384164222874,25.511730205278592,6.02258064516129,7.925004097425871,15.828739002932553,186.7,25.0
BKK,9,27.552121212121214,31.02363636363636,25.10151515151515,9.686363636363636,7.998478526936027,13.45121212121212,290.59090909090907,26.545454545454547
BKK,10,27.255131964809383,30.849853372434016,24.483870967741936,7.62316715542522,8.868799853372433,11.795894428152494,236.3181818181818,21.90909090909091
BKK,11,27.18121212121212,31.204242424242423,23.792727272727273,2.6654545454545455,9.696182382154882,12.370909090909091,79.96363636363637,10.818181818181818
BKK,12,26.68533724340176,31.144868035190616,22.590615835777125,0.5956011730205278,10.167506793743891,12.540175953079178,18.463636363636365,3.727272727272727
IPC,1,21.58357771260997,22.454545454545453,20.716129032258063,2.2507331378299122,12.121120153144348,23.913196480938414,69.77272727272727,12.727272727272727
IPC,2,22.33408360128617,23.236334405144696,21.456591639871384,2.459807073954984,11.907322320471597,23.5032154340836,69.54545454545455,12.818181818181818
IPC,3,22.170381231671556,22.99824046920821,21.37008797653959,2.231671554252199,10.950874006190942,25.253079178885628,69.18181818181819,12.545454545454545
IPC,4,21.222727272727273,22.05030303030303,20.428484848484846,3.110606060606061,9.738635395622897,27.685757575757574,93.31818181818181,13.727272727272727
IPC,5,19.778592375366568,20.639882697947215,19.011143695014663,3.450439882697947,8.582430702183121,30.541055718475075,106.96363636363638,12.909090909090908
IPC,6,18.418484848484848,19.22030303030303,17.661515151515154,2.3203030303030303,8.528089276094276,31.24878787878788,69.60909090909091,10.272727272727273
IPC,7,17.572140762463345,18.416129032258063,16.794721407624632,2.0137829912023464,8.551223525578363,29.371554252199417,62.42727272727273,11.545454545454545
